종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"377400","하이제6호스팩","KOSDAQ","금융","2010","0","0.00","10869075000"
"400840","하이제7호스팩","KOSDAQ","금융","2050","-5","-0.24","10496000000"
"450050","하이제8호스팩","KOSDAQ","금융","2035","-15","-0.73","10203490000"
"221840","하이즈항공","KOSDAQ","운송장비·부품","2785","-15","-0.54","52081062385"
"106190","하이텍팜","KOSDAQ","제약","13920","170","1.24","98675845440"
"373200","하인크코리아","KOSDAQ","기타제조","7000","-110","-1.55","132489000000"
"066130","하츠","KOSDAQ","일반전기전자","5720","-80","-1.38","73216000000"
"004590","한국가구","KOSDAQ","유통","3995","35","0.88","59925000000"
"039340","한국경제TV","KOSDAQ","방송서비스","5510","40","0.73","126730000000"
"034950","한국기업평가","KOSDAQ","기타서비스","78600","-100","-0.13","356884400400"
"222980","한국맥널티","KOSDAQ","음식료·담배","4355","50","1.16","48042108465"
"256840","한국비엔씨","KOSDAQ","제약","3455","55","1.62","234637490565"
"025550","한국선재","KOSDAQ","금속","4120","25","0.61","98505895760"
"017890","한국알콜","KOSDAQ","화학","11550","-280","-2.37","249546528000"
"080720","한국유니온제약","KOSDAQ","제약","4520","-125","-2.69","35724850560"
"063570","한국전자금융","KOSDAQ","기타서비스","5980","40","0.67","204203413440"
"041460","한국전자인증","KOSDAQ","소프트웨어","3925","35","0.90","74575000000"
"101680","한국정밀기계","KOSDAQ","기계·장비","2495","0","0.00","20967980000"
"039740","한국정보공학","KOSDAQ","유통","3475","10","0.29","27863929575"
"053300","한국정보인증","KOSDAQ","소프트웨어","4625","60","1.31","193215530875"
"025770","한국정보통신","KOSDAQ","통신서비스","8920","120","1.36","334002897320"
"436610","한국제11호스팩","KOSDAQ","금융","2055","0","0.00","12371100000"
"458610","한국제12호스팩","KOSDAQ","금융","2060","15","0.73","8713800000"
"464440","한국제13호스팩","KOSDAQ","금융","1976","-1","-0.05","8536320000"
"023760","한국캐피탈","KOSDAQ","금융","575","6","1.05","181475506200"
"054040","한국컴퓨터","KOSDAQ","IT부품","5420","10","0.18","87106391800"
"021650","한국큐빅","KOSDAQ","화학","3025","45","1.51","49460453075"
"053590","한국테크놀로지","KOSDAQ","유통","334","0","0.00","52484809098"
"032300","한국파마","KOSDAQ","제약","21700","-300","-1.36","236675411700"
"037230","한국팩키지","KOSDAQ","종이·목재","2000","-30","-1.48","59600654000"
"030520","한글과컴퓨터","KOSDAQ","소프트웨어","14240","450","3.26","344319554560"
"052600","한네트","KOSDAQ","통신서비스","4665","80","1.74","53944660500"
"256150","한독크린텍","KOSDAQ","기계·장비","7570","0","0.00","63550150000"
"092460","한라IMS","KOSDAQ","운송장비·부품","6580","50","0.77","112581694400"
"047080","한빛소프트","KOSDAQ","디지털컨텐츠","2525","35","1.41","62676464050"
"066980","한성크린텍","KOSDAQ","디지털컨텐츠","1735","29","1.70","86811469315"
"114810","한솔아이원스","KOSDAQ","IT부품","9200","0","0.00","270040000800"
"070590","한솔인티큐브","KOSDAQ","컴퓨터서비스","1829","1","0.05","25385643909"
"226440","한송네오텍","KOSDAQ","기계·장비","1530","0","0.00","100580954580"
"042520","한스바이오메드","KOSDAQ","제약","15300","420","2.82","206953415100"
"430690","한싹","KOSDAQ","소프트웨어","16900","480","2.92","92065707500"
"078350","한양디지텍","KOSDAQ","반도체","13370","260","1.98","203817387340"
"045100","한양이엔지","KOSDAQ","기타서비스","15110","60","0.40","271980000000"
"024740","한일단조","KOSDAQ","운송장비·부품","2430","45","1.89","76624086780"
"005860","한일사료","KOSDAQ","음식료·담배","4530","40","0.89","178498693050"
"123840","한일진공","KOSDAQ","기계·장비","499","-19","-3.67","50596915376"
"007770","한일화학","KOSDAQ","화학","17190","40","0.23","60336900000"
"198940","한주라이트메탈","KOSDAQ","금속","4100","0","0.00","79686841500"
"079170","한창산업","KOSDAQ","금속","8330","150","1.83","43316000000"
"054920","한컴위드","KOSDAQ","소프트웨어","3135","50","1.62","88460548935"
"002680","한탑","KOSDAQ","음식료·담배","1231","1","0.08","36923619727"
"386580","한화플러스제2호스팩","KOSDAQ","금융","2050","0","0.00","8528000000"
"430460","한화플러스제3호스팩","KOSDAQ","금융","2040","0","0.00","12076800000"
"455310","한화플러스제4호스팩","KOSDAQ","금융","1987","5","0.25","10054220000"
"034810","해성산업","KOSDAQ","금융","8000","80","1.01","260454856000"
"03481K","해성산업1우","KOSDAQ","금융","8870","720","8.83","12319738140"
"076610","해성옵틱스","KOSDAQ","IT부품","316","-9","-2.77","40216054104"
"059270","해성티피씨","KOSDAQ","금속","6070","140","2.36","60826547360"
"220180","핸디소프트","KOSDAQ","소프트웨어","3075","20","0.65","59679600000"
"900270","헝셩그룹","KOSDAQ","금융","221","-1","-0.45","18935722000"
"214180","헥토이노베이션","KOSDAQ","소프트웨어","13500","-70","-0.52","178971997500"
"234340","헥토파이낸셜","KOSDAQ","소프트웨어","14960","60","0.40","141416880000"
"084990","헬릭스미스","KOSDAQ","기타서비스","4565","185","4.22","189888154885"
"170030","현대공업","KOSDAQ","운송장비·부품","7080","0","0.00","108607200000"
"319400","현대무벡스","KOSDAQ","기계·장비","3350","-5","-0.15","393788694400"
"048410","현대바이오","KOSDAQ","화학","31700","-1050","-3.21","1261977253600"
