종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","4165","15","0.36","188477741235"
"006840","AK홀딩스","KOSPI","기타금융","17980","-20","-0.11","238191146780"
"027410","BGF","KOSPI","기타금융","3570","30","0.85","341708943870"
"282330","BGF리테일","KOSPI","유통업","135400","1900","1.42","2340240872400"
"138930","BNK금융지주","KOSPI","기타금융","7100","30","0.42","2286827909800"
"001460","BYC","KOSPI","섬유의복","417500","5000","1.21","260776762500"
"001465","BYC우","KOSPI","섬유의복","140600","200","0.14","30283131000"
"001040","CJ","KOSPI","기타금융","90000","500","0.56","2625929820000"
"079160","CJ CGV","KOSPI","서비스업","5590","130","2.38","684390883150"
"00104K","CJ4우(전환)","KOSPI","기타금융","69900","400","0.58","295433188800"
"000120","CJ대한통운","KOSPI","운수창고업","89900","2500","2.86","2050829725600"
"011150","CJ씨푸드","KOSPI","음식료품","2790","85","3.14","100246856670"
"011155","CJ씨푸드1우","KOSPI","음식료품","19510","50","0.26","3902000000"
"001045","CJ우","KOSPI","기타금융","48300","250","0.52","109168770900"
"097950","CJ제일제당","KOSPI","음식료품","320000","1000","0.31","4817339520000"
"097955","CJ제일제당 우","KOSPI","음식료품","132500","1200","0.91","175884872500"
"000480","CR홀딩스","KOSPI","비금속광물","6900","70","1.02","194199340800"
"000590","CS홀딩스","KOSPI","기타금융","59200","400","0.68","68345334400"
"012030","DB","KOSPI","서비스업","1704","15","0.89","342800381832"
"016610","DB금융투자","KOSPI","증권","3955","45","1.15","167875468495"
"005830","DB손해보험","KOSPI","보험","82000","400","0.49","5805600000000"
"000990","DB하이텍","KOSPI","전기전자","56600","1300","2.35","2512960080800"
"139130","DGB금융지주","KOSPI","기타금융","8320","50","0.60","1407293330560"
"001530","DI동일","KOSPI","유통업","31700","200","0.63","825489460900"
"000210","DL","KOSPI","화학","48200","-700","-1.43","1010073608800"
"001880","DL건설","KOSPI","건설업","13280","-40","-0.30","292867611520"
"000215","DL우","KOSPI","화학","22950","0","0.00","38696339250"
"375500","DL이앤씨","KOSPI","건설업","36400","-300","-0.82","1408447877200"
"37550L","DL이앤씨2우(전환)","KOSPI","건설업","23750","-200","-0.84","50158836250"
"37550K","DL이앤씨우","KOSPI","건설업","18400","-30","-0.16","38895484000"
"007340","DN오토모티브","KOSPI","전기전자","71300","800","1.13","712572556500"
"004840","DRB동일","KOSPI","화학","5900","-50","-0.84","117587000000"
"155660","DSR","KOSPI","철강금속","4430","45","1.03","70880000000"
"069730","DSR제강","KOSPI","철강금속","4235","45","1.07","60984000000"
"017940","E1","KOSPI","유통업","58300","200","0.34","399938000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","3525","50","1.44","751138725000"
"383220","F&F","KOSPI","섬유의복","87100","-1300","-1.47","3336546232500"
"007700","F&F홀딩스","KOSPI","기타금융","16270","150","0.93","636390751090"
"114090","GKL","KOSPI","서비스업","14150","150","1.07","875257730500"
"078930","GS","KOSPI","기타금융","42400","-100","-0.24","3939612027200"
"006360","GS건설","KOSPI","건설업","16000","190","1.20","1369303840000"
"001250","GS글로벌","KOSPI","유통업","2510","60","2.45","207159747640"
"007070","GS리테일","KOSPI","유통업","24850","-50","-0.20","2602240361700"
"078935","GS우","KOSPI","기타금융","35750","-50","-0.14","63807529500"
"012630","HDC","KOSPI","기타금융","6800","-120","-1.73","406243702800"
"039570","HDC랩스","KOSPI","건설업","7420","-30","-0.40","192605399420"
"089470","HDC현대EP","KOSPI","화학","4765","75","1.60","152003500000"
"294870","HDC현대산업개발","KOSPI","건설업","13960","-190","-1.34","920066326800"
"009540","HD한국조선해양","KOSPI","기타금융","100900","2700","2.75","7141007404400"
"267250","HD현대","KOSPI","기타금융","60200","900","1.52","4755383717000"
"267270","HD현대건설기계","KOSPI","기계","47900","1450","3.12","943667984700"
"322000","HD현대에너지솔루션","KOSPI","전기전자","24200","650","2.76","271040000000"
"042670","HD현대인프라코어","KOSPI","기계","7700","170","2.26","1536946588100"
"267260","HD현대일렉트릭","KOSPI","전기전자","85400","-2600","-2.95","3078425329000"
"329180","HD현대중공업","KOSPI","운수장비","114700","3300","2.96","10182276405200"
"097230","HJ중공업","KOSPI","건설업","3935","-5","-0.13","327684295735"
"014790","HL D&I","KOSPI","건설업","2140","45","2.15","81017406140"
"003580","HLB글로벌","KOSPI","광업","3610","25","0.70","152992785530"
"204320","HL만도","KOSPI","운수장비","35850","200","0.56","1683412752000"
"060980","HL홀딩스","KOSPI","기타금융","32950","-50","-0.15","335082059500"
"011200","HMM","KOSPI","운수창고업","15910","410","2.65","10962618381360"
"082740","HSD엔진","KOSPI","기계","8640","450","5.49","618140108160"
"035000","HS애드","KOSPI","서비스업","6360","50","0.79","105368721240"
"003560","IHQ","KOSPI","서비스업","3585","0","0.00","57908659155"
"175330","JB금융지주","KOSPI","기타금융","10890","-20","-0.18","2145143715660"
"234080","JW생명과학","KOSPI","의약품","12700","120","0.95","201098835800"
"001060","JW중외제약","KOSPI","의약품","30200","1300","4.50","689618087200"
"001067","JW중외제약2우B","KOSPI","의약품","63000","100","0.16","12972708000"
"001065","JW중외제약우","KOSPI","의약품","32700","350","1.08","10965127500"
"096760","JW홀딩스","KOSPI","기타금융","3470","20","0.58","251603311730"
